"sofifa_id","player_url","short_name","long_name","player_positions","overall","potential","value_eur","wage_eur","age","dob","height_cm","weight_kg","club_team_id","club_name","league_name","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","nation_jersey_number","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","body_type","real_face","release_clause_eur","player_tags","player_traits","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","gk","player_face_url","club_logo_url","club_flag_url","nation_logo_url","nation_flag_url"
"257894","https://sofifa.com/player/257894/denechandra-meitei/220002","D. Meitei","Denechandra Meitei","LB","54","55","110000.0","500.0","27","1994-03-28","175","65","113299.0","Kerala Blasters FC","Indian Super League","1.0","SUB","19.0","","2020-08-05","2024.0","159","India","","","","Left","3","2","1","Medium/Medium","Lean (170-185)","No","157000.0","","","66.0","32.0","43.0","50.0","50.0","59.0","48","26","35","44","28","49","45","36","43","45","67","66","66","45","71","42","78","60","61","36","47","47","32","37","32","35","52","53","55","7","13","11","6","7","","41+2","41+2","41+2","45.0","42","42","42","45.0","43+2","43+2","43+2","47+2","44+2","44+2","44+2","47+2","52+2","48+2","48+2","48+2","52+2","52+2","51+2","51+2","51+2","52+2","12+2","https://cdn.sofifa.net/players/257/894/22_120.png","https://cdn.sofifa.net/teams/113299/60.png","https://cdn.sofifa.net/flags/in.png","","https://cdn.sofifa.net/flags/in.png"
"245573","https://sofifa.com/player/245573/alexandr-lomovitskiy/220002","A. Lomovitskiy","Aleksandr Lomovitskiy","RM, LM","66","74","1900000.0","12000.0","23","1998-01-27","181","73","100767.0","Spartak Moskva","Russian Premier League","1.0","SUB","17.0","","2015-07-01","2023.0","40","Russia","","","","Right","3","3","1","Medium/Medium","Lean (170-185)","No","3400000.0","","Technical Dribbler (AI)","78.0","55.0","61.0","70.0","34.0","50.0","63","48","39","66","60","75","51","42","62","68","79","78","71","54","63","65","44","52","53","54","41","21","60","58","67","57","33","37","46","8","12","15","6","9","","59+2","59+2","59+2","65.0","63","63","63","65.0","64+2","64+2","64+2","65+2","59+2","59+2","59+2","65+2","53+2","48+2","48+2","48+2","53+2","50+2","42+2","42+2","42+2","50+2","14+2","https://cdn.sofifa.net/players/245/573/22_120.png","https://cdn.sofifa.net/teams/100767/60.png","https://cdn.sofifa.net/flags/ru.png","","https://cdn.sofifa.net/flags/ru.png"
"225667","https://sofifa.com/player/225667/conor-chaplin/220002","C. Chaplin","Conor Mark Chaplin","CAM, LM, RM","67","73","1600000.0","4000.0","24","1997-02-16","168","69","94.0","Ipswich Town","English League One","3.0","SUB","21.0","","2021-07-27","2024.0","14","England","","","","Left","3","3","1","High/Medium","Normal (170-)","No","3100000.0","","Finesse Shot","78.0","68.0","60.0","71.0","35.0","60.0","52","70","55","64","67","69","60","68","51","68","80","77","82","69","84","72","75","72","58","64","45","30","67","64","59","66","33","33","40","13","16","10","14","12","","68+2","68+2","68+2","68.0","68","68","68","68.0","67+2","67+2","67+2","67+2","61+2","61+2","61+2","67+2","54+2","50+2","50+2","50+2","54+2","52+2","46+2","46+2","46+2","52+2","20+2","https://cdn.sofifa.net/players/225/667/22_120.png","https://cdn.sofifa.net/teams/94/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/gb-eng.png"
"259357","https://sofifa.com/player/259357/mohammed-al-oufi/220002","M. Al Oufi","Mohammed Al Oufi","LB","52","69","190000.0","1000.0","18","2002-08-08","168","70","607.0","Al Ittihad","Saudi Abdul L. Jameel League","1.0","RES","23.0","","2020-09-29","2023.0","183","Saudi Arabia","","","","Left","2","2","1","Medium/Medium","Normal (170-)","No","442000.0","","","66.0","31.0","40.0","47.0","49.0","50.0","45","28","45","40","25","45","50","35","37","39","67","66","72","46","67","36","34","57","46","30","53","51","39","38","37","39","45","52","51","7","6","5","8","9","","41+2","41+2","41+2","44.0","42","42","42","44.0","42+2","42+2","42+2","45+2","42+2","42+2","42+2","45+2","49+2","46+2","46+2","46+2","49+2","50+2","48+2","48+2","48+2","50+2","12+2","https://cdn.sofifa.net/players/259/357/22_120.png","https://cdn.sofifa.net/teams/607/60.png","https://cdn.sofifa.net/flags/sa.png","","https://cdn.sofifa.net/flags/sa.png"
"251566","https://sofifa.com/player/251566/gabriel-teodoro-martinelli-silva/220002","Gabriel Martinelli","Gabriel Teodoro Martinelli Silva","LM, LW","76","88","18000000.0","49000.0","20","2001-06-18","179","75","1.0","Arsenal","English Premier League","1.0","SUB","35.0","","2019-07-02","2024.0","54","Brazil","","","","Right","3","3","1","High/High","Lean (170-185)","Yes","37800000.0","","Finesse Shot, Outside Foot Shot, Technical Dribbler (AI)","87.0","69.0","67.0","78.0","44.0","67.0","72","74","72","70","61","78","70","49","50","77","88","86","83","74","79","68","55","76","61","60","75","37","74","72","60","73","44","40","43","10","6","7","6","6","","73+2","73+2","73+2","76.0","75","75","75","76.0","74+2","74+2","74+2","75+2","67+2","67+2","67+2","75+2","63+2","57+2","57+2","57+2","63+2","60+2","54+2","54+2","54+2","60+2","14+2","https://cdn.sofifa.net/players/251/566/22_120.png","https://cdn.sofifa.net/teams/1/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/br.png"
"257260","https://sofifa.com/player/257260/mathias-brems/220002","M. Brems","Mathias Brems","LB, LM","53","69","230000.0","1000.0","19","2002-03-13","191","75","272.0","Odense Boldklub","Danish Superliga","1.0","RES","18.0","","2020-06-19","2023.0","13","Denmark","","","","Left","2","3","1","High/Medium","Lean (185+)","No","431000.0","","","74.0","34.0","42.0","47.0","47.0","61.0","47","29","47","45","33","46","44","44","31","48","75","73","53","47","49","42","56","57","67","33","53","44","46","39","45","43","45","51","50","7","8","9","12","13","","46+2","46+2","46+2","48.0","46","46","46","48.0","45+2","45+2","45+2","48+2","43+2","43+2","43+2","48+2","51+2","47+2","47+2","47+2","51+2","51+2","50+2","50+2","50+2","51+2","14+2","https://cdn.sofifa.net/players/257/260/22_120.png","https://cdn.sofifa.net/teams/272/60.png","https://cdn.sofifa.net/flags/dk.png","","https://cdn.sofifa.net/flags/dk.png"
"257158","https://sofifa.com/player/257158/johan-karlsson/220002","J. Karlsson","Johan Karlsson","RB, CM","55","65","275000.0","500.0","20","2001-06-20","172","68","113458.0","IK Sirius","Swedish Allsvenskan","1.0","SUB","27.0","","2020-07-05","2021.0","46","Sweden","","","","Right","3","2","1","Medium/Medium","Normal (170-185)","No","399000.0","","","62.0","30.0","49.0","51.0","51.0","57.0","45","26","43","56","29","46","33","32","52","51","64","60","65","48","73","37","59","62","57","31","49","51","41","47","32","44","50","54","53","14","13","9","11","13","","43+2","43+2","43+2","47.0","46","46","46","47.0","48+2","48+2","48+2","49+2","50+2","50+2","50+2","49+2","53+2","53+2","53+2","53+2","53+2","53+2","52+2","52+2","52+2","53+2","16+2","https://cdn.sofifa.net/players/257/158/22_120.png","https://cdn.sofifa.net/teams/113458/60.png","https://cdn.sofifa.net/flags/se.png","","https://cdn.sofifa.net/flags/se.png"
"230455","https://sofifa.com/player/230455/jackson-joao-crusso-mutto/220002","Jackson Crusso","Jackson João Crusso Mutto","RW, LW","65","65","850000.0","4000.0","21","2000-02-29","187","77","115530.0","Cuiabá","Campeonato Brasileiro Série A","1.0","SUB","21.0","","2021-07-08","2024.0","54","Brazil","","","","Right","4","3","1","Medium/Medium","Normal (185+)","No","1600000.0","","","74.0","56.0","59.0","72.0","22.0","47.0","64","51","63","60","54","73","38","60","59","71","78","70","82","56","76","68","77","48","48","57","38","13","57","57","51","62","15","26","11","16","7","12","9","9","","61+2","61+2","61+2","65.0","63","63","63","65.0","63+2","63+2","63+2","64+1","56+2","56+2","56+2","64+1","45+2","41+2","41+2","41+2","45+2","42+2","35+2","35+2","35+2","42+2","15+2","https://cdn.sofifa.net/players/230/455/22_120.png","https://cdn.sofifa.net/teams/115530/60.png","https://cdn.sofifa.net/flags/br.png","","https://cdn.sofifa.net/flags/br.png"
"261555","https://sofifa.com/player/261555/edgar-olivares/220002","E. Olivares","Edgar Alberto Olivares Villarroel","LB","61","78","800000.0","500.0","18","2002-07-22","175","72","110974.0","Club Deportivo Jorge Wilstermann","Liga de Fútbol Profesional Boliviano","1.0","RES","29.0","","2021-01-01","2023.0","53","Bolivia","","","","Left","3","2","1","Medium/Medium","Lean (170-185)","No","2200000.0","","","70.0","47.0","54.0","59.0","60.0","55.0","55","44","55","58","44","65","35","55","50","51","70","70","55","55","65","50","60","55","55","45","55","60","45","55","66","58","60","61","60","12","12","9","14","7","","53+2","53+2","53+2","56.0","54","54","54","56.0","55+2","55+2","55+2","57+2","54+2","54+2","54+2","57+2","59+2","57+2","57+2","57+2","59+2","59+2","58+2","58+2","58+2","59+2","16+2","https://cdn.sofifa.net/players/261/555/22_120.png","https://cdn.sofifa.net/teams/110974/60.png","https://cdn.sofifa.net/flags/bo.png","","https://cdn.sofifa.net/flags/bo.png"
"259353","https://sofifa.com/player/259353/jesse-daley/220002","J. Daley","Jesse Daley","CM","58","67","450000.0","950.0","23","1997-10-16","175","68","111395.0","Brisbane Roar","Australian Hyundai A-League","1.0","SUB","15.0","","2020-10-12","2022.0","195","Australia","","","","Right","3","2","1","Medium/Medium","Lean (170-185)","No","653000.0","","","66.0","43.0","57.0","63.0","47.0","53.0","51","40","41","65","38","64","46","38","61","61","67","65","61","55","72","52","62","70","51","37","36","41","55","55","44","60","43","55","50","6","8","12","9","12","","52+2","52+2","52+2","57.0","56","56","56","57.0","58+2","58+2","58+2","59+2","58+2","58+2","58+2","59+2","56+2","54+2","54+2","54+2","56+2","54+2","49+2","49+2","49+2","54+2","14+2","https://cdn.sofifa.net/players/259/353/22_120.png","https://cdn.sofifa.net/teams/111395/60.png","https://cdn.sofifa.net/flags/au.png","","https://cdn.sofifa.net/flags/au.png"
"238509","https://sofifa.com/player/238509/elie-youan/220002","É. Youan","Thody Élie Youan","ST, CAM","63","71","1100000.0","2000.0","22","1999-04-07","183","78","898.0","FC St. Gallen 1879","Swiss Super League","1.0","LCM","20.0","","2021-07-01","2024.0","18","France","","","","Right","3","3","1","Medium/Medium","Normal (170-185)","No","1800000.0","","Speed Dribbler (AI)","73.0","63.0","49.0","64.0","29.0","54.0","38","64","62","58","59","62","57","38","36","62","74","72","83","58","71","63","69","53","57","64","42","29","62","55","58","54","26","23","27","15","10","14","14","6","","63+2","63+2","63+2","61.0","62","62","62","61.0","61+2","61+2","61+2","58+2","53+2","53+2","53+2","58+2","45+2","42+2","42+2","42+2","45+2","44+2","41+2","41+2","41+2","44+2","17+2","https://cdn.sofifa.net/players/238/509/22_120.png","https://cdn.sofifa.net/teams/898/60.png","https://cdn.sofifa.net/flags/ch.png","","https://cdn.sofifa.net/flags/fr.png"
"239090","https://sofifa.com/player/239090/philipp-wiesinger/220002","P. Wiesinger","Philipp Wiesinger","CB","72","74","2500000.0","18000.0","27","1994-05-23","181","74","252.0","LASK Linz","Austrian Football Bundesliga","1.0","RCB","6.0","","2016-07-01","2022.0","4","Austria","","","","Left","3","2","1","Medium/Medium","Normal (170-185)","No","3900000.0","","Solid Player, Long Passer (AI)","71.0","54.0","58.0","61.0","73.0","72.0","56","45","70","67","47","55","59","22","62","65","70","72","57","72","71","68","81","77","69","56","72","74","56","48","67","71","72","74","72","12","12","6","6","9","","61+2","61+2","61+2","60.0","60","60","60","60.0","60+2","60+2","60+2","61+2","63+2","63+2","63+2","61+2","69+2","69+2","69+2","69+2","69+2","70+2","72+2","72+2","72+2","70+2","16+2","https://cdn.sofifa.net/players/239/090/22_120.png","https://cdn.sofifa.net/teams/252/60.png","https://cdn.sofifa.net/flags/at.png","","https://cdn.sofifa.net/flags/at.png"
"221844","https://sofifa.com/player/221844/puliang-shao/220002","Shao Puliang","邵璞亮","GK","62","62","210000.0","1000.0","31","1989-07-06","187","83","112985.0","Shijiazhuang Ever Bright F.C.","Chinese Super League","1.0","GK","14.0","","2016-01-11","2021.0","155","China PR","","","","Right","3","1","1","Medium/Medium","Normal (185+)","No","326000.0","","","","","","","","","20","16","12","42","11","14","15","14","48","22","31","35","37","65","62","47","50","21","36","18","14","18","18","40","14","58","29","23","18","58","62","63","63","59","33.0","27+2","27+2","27+2","27.0","29","29","29","27.0","31+2","31+2","31+2","29+2","33+2","33+2","33+2","29+2","28+2","31+2","31+2","31+2","28+2","27+2","26+2","26+2","26+2","27+2","61+1","https://cdn.sofifa.net/players/221/844/22_120.png","https://cdn.sofifa.net/teams/112985/60.png","https://cdn.sofifa.net/flags/cn.png","","https://cdn.sofifa.net/flags/cn.png"
"170368","https://sofifa.com/player/170368/erik-lamela/220002","E. Lamela","Erik Lamela","RM, CAM","78","78","14000000.0","30000.0","29","1992-03-04","184","80","481.0","Sevilla FC","Spain Primera Division","1.0","SUB","17.0","","2021-07-26","2024.0","52","Argentina","","","","Left","2","4","2","High/High","Lean (170-185)","Yes","29400000.0","","Injury Prone, Dives Into Tackles (AI), Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)","70.0","77.0","79.0","81.0","53.0","68.0","77","74","60","80","75","83","84","81","75","82","74","67","77","79","75","81","56","61","64","80","90","53","79","78","75","75","52","50","54","10","15","11","8","13","","75+2","75+2","75+2","78.0","78","78","78","78.0","79-1","79-1","79-1","77+1","75+2","75+2","75+2","77+1","66+2","67+2","67+2","67+2","66+2","64+2","61+2","61+2","61+2","64+2","19+2","https://cdn.sofifa.net/players/170/368/22_120.png","https://cdn.sofifa.net/teams/481/60.png","https://cdn.sofifa.net/flags/es.png","","https://cdn.sofifa.net/flags/ar.png"
"242012","https://sofifa.com/player/242012/ryo-germain/220002","R. Germain","ジャーメイン 良","ST, CF, RW","64","66","725000.0","1000.0","26","1995-04-19","182","75","113197.0","Yokohama FC","Japanese J. League Division 1","1.0","SUB","14.0","","2021-01-09","2022.0","163","Japan","","","","Left","2","3","1","High/Low","Normal (170-185)","No","961000.0","","Speed Dribbler (AI)","83.0","62.0","51.0","59.0","36.0","67.0","57","62","62","57","57","59","26","22","52","57","80","86","67","62","60","67","83","53","75","58","58","29","65","45","56","57","24","44","33","6","8","14","11","6","","64+2","64+2","64+2","62.0","62","62","62","62.0","59+2","59+2","59+2","61+2","54+2","54+2","54+2","61+2","50+2","47+2","47+2","47+2","50+2","50+2","48+2","48+2","48+2","50+2","14+2","https://cdn.sofifa.net/players/242/012/22_120.png","https://cdn.sofifa.net/teams/113197/60.png","https://cdn.sofifa.net/flags/jp.png","","https://cdn.sofifa.net/flags/jp.png"
"251400","https://sofifa.com/player/251400/leroy-kwadwo/220002","L. Kwadwo","Leroy Kwadwo","LB, CB","64","69","825000.0","2000.0","24","1996-08-15","187","79","1825.0","MSV Duisburg","German 3. Bundesliga","3.0","SUB","5.0","","2021-07-01","2023.0","21","Germany","","","","Left","3","2","1","Medium/Medium","Normal (185+)","No","1300000.0","","","75.0","30.0","53.0","59.0","61.0","69.0","59","21","61","60","24","58","50","27","50","58","72","78","64","57","62","49","76","62","76","30","58","57","31","43","31","54","59","64","62","12","9","7","8","13","","48+2","48+2","48+2","52.0","50","50","50","52.0","51+2","51+2","51+2","55+2","52+2","52+2","52+2","55+2","61+2","59+2","59+2","59+2","61+2","62+2","63+2","63+2","63+2","62+2","15+2","https://cdn.sofifa.net/players/251/400/22_120.png","https://cdn.sofifa.net/teams/1825/60.png","https://cdn.sofifa.net/flags/de.png","","https://cdn.sofifa.net/flags/de.png"
"203575","https://sofifa.com/player/203575/dawid-abramowicz/220002","D. Abramowicz","Dawid Abramowicz","LB","63","63","425000.0","1000.0","30","1991-05-16","186","76","111088.0","Radomiak Radom","Polish T-Mobile Ekstraklasa","1.0","LB","33.0","","2021-01-29","2022.0","37","Poland","","","","Left","3","2","1","Medium/Medium","Normal (185+)","No","574000.0","","Long Throw-in","77.0","45.0","58.0","46.0","58.0","72.0","60","37","48","60","27","36","56","51","55","51","77","77","58","60","58","60","68","76","70","57","72","58","37","59","43","46","60","60","55","7","14","15","13","10","","50+2","50+2","50+2","53.0","51","51","51","53.0","52+2","52+2","52+2","55+2","55+2","55+2","55+2","55+2","61+2","60+2","60+2","60+2","61+2","61+2","60+2","60+2","60+2","61+2","17+2","https://cdn.sofifa.net/players/203/575/22_120.png","https://cdn.sofifa.net/teams/111088/60.png","https://cdn.sofifa.net/flags/pl.png","","https://cdn.sofifa.net/flags/pl.png"
"252699","https://sofifa.com/player/252699/macklin-freke/220002","M. Freke","Macklin Freke","GK","53","65","200000.0","600.0","22","1999-01-06","193","76","111395.0","Brisbane Roar","Australian Hyundai A-League","1.0","GK","1.0","","2019-07-01","2022.0","195","Australia","","","","Right","2","1","1","Medium/Medium","Normal (185+)","No","290000.0","","","","","","","","","10","5","13","22","9","11","11","10","20","19","21","17","27","32","25","41","36","19","63","8","27","14","5","36","13","32","5","10","12","53","55","54","53","58","19.0","19+2","19+2","19+2","16.0","18","18","18","16.0","19+2","19+2","19+2","17+2","20+2","20+2","20+2","17+2","16+2","20+2","20+2","20+2","16+2","15+2","20+2","20+2","20+2","15+2","52+2","https://cdn.sofifa.net/players/252/699/22_120.png","https://cdn.sofifa.net/teams/111395/60.png","https://cdn.sofifa.net/flags/au.png","","https://cdn.sofifa.net/flags/au.png"
"246821","https://sofifa.com/player/246821/kaleth-hernandez/220002","K. Hernández","Neder Kaleth Hernández Medina","RW","61","73","800000.0","6000.0","20","2001-01-26","167","65","1032.0","CF Monterrey","Mexican Liga MX","1.0","SUB","49.0","","2021-07-26","2024.0","83","Mexico","","","","Right","3","3","1","High/Medium","Lean (170-)","No","1400000.0","","Flair, Technical Dribbler (AI)","66.0","48.0","58.0","68.0","42.0","54.0","60","45","54","61","35","68","45","44","58","67","68","65","78","53","79","55","61","55","50","49","60","33","58","59","52","48","22","56","62","12","10","5","13","5","","56+2","56+2","56+2","61.0","59","59","59","61.0","61+2","61+2","61+2","61+2","58+2","58+2","58+2","61+2","55+2","52+2","52+2","52+2","55+2","54+2","49+2","49+2","49+2","54+2","14+2","https://cdn.sofifa.net/players/246/821/22_120.png","https://cdn.sofifa.net/teams/1032/60.png","https://cdn.sofifa.net/flags/mx.png","","https://cdn.sofifa.net/flags/mx.png"
"224731","https://sofifa.com/player/224731/lu-zhang/220002","Zhang Lu","张璐","RM, RB","61","61","200000.0","3000.0","33","1987-08-23","181","74","110955.0","Shanghai Shenhua FC","Chinese Super League","1.0","SUB","8.0","","2014-12-30","2021.0","155","China PR","","","","Right","3","3","1","Medium/Medium","Lean (170-185)","No","310000.0","","","74.0","57.0","54.0","58.0","56.0","65.0","54","59","49","55","53","56","54","47","54","58","75","74","69","57","60","57","51","71","64","53","61","60","60","55","51","52","57","56","54","13","12","15","8","11","","59+2","59+2","59+2","59.0","59","59","59","59.0","58+2","58+2","58+2","60+1","57+2","57+2","57+2","60+1","60+1","58+2","58+2","58+2","60+1","59+2","57+2","57+2","57+2","59+2","16+2","https://cdn.sofifa.net/players/224/731/22_120.png","https://cdn.sofifa.net/teams/110955/60.png","https://cdn.sofifa.net/flags/cn.png","","https://cdn.sofifa.net/flags/cn.png"
"237328","https://sofifa.com/player/237328/nathan-tella/220002","N. Tella","Nathan Tella","LM, ST","66","78","2100000.0","10000.0","21","1999-07-05","173","70","17.0","Southampton","English Premier League","1.0","SUB","23.0","","2017-06-09","2023.0","14","England","","","","Right","2","3","1","High/Low","Lean (170-185)","Yes","4400000.0","","Speed Dribbler (AI)","86.0","57.0","56.0","69.0","31.0","54.0","57","59","44","60","49","70","55","37","46","65","87","85","84","62","79","57","51","67","49","55","50","25","65","59","48","57","30","34","27","9","6","8","12","6","","61+2","61+2","61+2","66.0","65","65","65","66.0","64+2","64+2","64+2","65+2","57+2","57+2","57+2","65+2","52+2","46+2","46+2","46+2","52+2","49+2","41+2","41+2","41+2","49+2","14+2","https://cdn.sofifa.net/players/237/328/22_120.png","https://cdn.sofifa.net/teams/17/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/gb-eng.png"
"228053","https://sofifa.com/player/228053/shayon-harrison/220002","S. Harrison","Shayon Adam Harrison","ST, RW, LM","60","67","500000.0","1000.0","23","1997-07-13","183","68","357.0","Morecambe","English League One","3.0","SUB","27.0","","2021-08-11","2022.0","14","England","","","","Left","3","3","1","High/Medium","Lean (170-185)","No","975000.0","","","74.0","58.0","45.0","61.0","21.0","60.0","45","62","57","49","51","60","42","27","41","58","75","73","73","59","70","57","65","63","62","50","49","14","58","44","63","52","21","16","12","11","7","10","12","11","","60+2","60+2","60+2","58.0","58","58","58","58.0","56+2","56+2","56+2","57+2","48+2","48+2","48+2","57+2","41+2","38+2","38+2","38+2","41+2","39+2","35+2","35+2","35+2","39+2","16+2","https://cdn.sofifa.net/players/228/053/22_120.png","https://cdn.sofifa.net/teams/357/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/gb-eng.png"
"262538","https://sofifa.com/player/262538/younes-bakiz/220002","Y. Bakiz","Younes Bakiz","LW","60","67","500000.0","2000.0","22","1999-02-05","186","76","1443.0","Viborg FF","Danish Superliga","1.0","LW","23.0","","2020-07-01","2023.0","13","Denmark","","","","Left","3","3","1","Medium/Medium","Normal (185+)","No","725000.0","","","73.0","58.0","53.0","61.0","29.0","61.0","50","58","55","55","56","62","55","45","48","60","70","75","68","52","62","65","54","67","62","54","54","26","58","58","49","59","25","28","28","14","5","14","8","6","","60+2","60+2","60+2","60.0","60","60","60","60.0","59+2","59+2","59+2","59+2","54+2","54+2","54+2","59+2","47+2","44+2","44+2","44+2","47+2","45+2","41+2","41+2","41+2","45+2","13+2","https://cdn.sofifa.net/players/262/538/22_120.png","https://cdn.sofifa.net/teams/1443/60.png","https://cdn.sofifa.net/flags/dk.png","","https://cdn.sofifa.net/flags/dk.png"
"251916","https://sofifa.com/player/251916/pape-ndiaga-yade/220002","P. Yade","Pape Ndiaga Yade","ST, LW","67","78","2300000.0","6000.0","21","2000-01-05","185","76","68.0","FC Metz","French Ligue 1","1.0","SUB","26.0","","2019-05-09","2024.0","136","Senegal","","","","Left","3","3","1","Medium/Medium","Stocky (185+)","No","5100000.0","","Speed Dribbler (AI)","79.0","68.0","59.0","68.0","29.0","64.0","65","66","59","59","63","71","67","50","48","70","82","77","66","52","56","74","50","55","74","68","54","22","63","59","64","61","27","24","29","13","9","14","13","11","","67+2","67+2","67+2","67.0","66","66","66","67.0","64+2","64+2","64+2","65+2","56+2","56+2","56+2","65+2","49+2","45+2","45+2","45+2","49+2","47+2","42+2","42+2","42+2","47+2","16+2","https://cdn.sofifa.net/players/251/916/22_120.png","https://cdn.sofifa.net/teams/68/60.png","https://cdn.sofifa.net/flags/fr.png","","https://cdn.sofifa.net/flags/sn.png"
"261470","https://sofifa.com/player/261470/ronaldo-chacon/220002","R. Chacón","Ronaldo Daniel Chacón Zambrano","ST","60","69","550000.0","500.0","23","1998-02-18","183","84","114611.0","Academia Puerto Cabello","Venezuelan Primera División","1.0","SUB","11.0","","2019-01-01","2025.0","61","Venezuela","","","","Left","2","2","1","Medium/Low","Normal (170-185)","No","1300000.0","","","53.0","62.0","42.0","56.0","29.0","66.0","26","67","69","57","55","56","25","33","33","58","51","55","56","49","60","60","61","60","76","60","49","26","53","46","49","45","23","25","22","13","14","8","11","11","","60+2","60+2","60+2","53.0","56","56","56","53.0","54+2","54+2","54+2","51+2","49+2","49+2","49+2","51+2","40+2","41+2","41+2","41+2","40+2","39+2","42+2","42+2","42+2","39+2","16+2","https://cdn.sofifa.net/players/261/470/22_120.png","https://cdn.sofifa.net/teams/114611/60.png","https://cdn.sofifa.net/flags/ve.png","","https://cdn.sofifa.net/flags/ve.png"
"263871","https://sofifa.com/player/263871/junya-nodake/220002","J. Nodake","Junya Nodake","RM, RB","58","58","220000.0","900.0","26","1994-09-11","177","75","113183.0","Oita Trinita","Japanese J. League Division 1","1.0","RES","28.0","","2021-07-31","2023.0","163","Japan","","","","Right","3","3","1","Medium/Medium","Normal (170-185)","No","275000.0","","","67.0","48.0","53.0","62.0","40.0","61.0","53","41","41","58","40","62","51","49","52","61","68","67","70","55","73","60","58","66","64","53","50","38","53","47","44","56","39","43","40","13","14","13","10","7","","54+2","54+2","54+2","57.0","56","56","56","57.0","56+2","56+2","56+2","57+1","54+2","54+2","54+2","57+1","52+2","50+2","50+2","50+2","52+2","51+2","47+2","47+2","47+2","51+2","16+2","https://cdn.sofifa.net/players/263/871/22_120.png","https://cdn.sofifa.net/teams/113183/60.png","https://cdn.sofifa.net/flags/jp.png","","https://cdn.sofifa.net/flags/jp.png"
"264097","https://sofifa.com/player/264097/alejandro-rodriguez-lorite/220002","Alex Rodríguez","Alejandro Rodríguez Lorite","RB","58","72","475000.0","2000.0","19","2002-03-21","178","73","1860.0","Getafe CF","Spain Primera Division","1.0","RES","30.0","","2020-08-01","2022.0","45","Spain","","","","Right","3","3","1","Medium/Medium","Normal (170-185)","No","1300000.0","","","66.0","26.0","41.0","49.0","54.0","59.0","59","22","48","43","28","52","30","32","25","41","63","68","51","60","73","26","66","60","59","29","54","59","44","36","36","39","52","54","59","14","15","11","10","15","","42+2","42+2","42+2","47.0","44","44","44","47.0","43+2","43+2","43+2","48+2","43+2","43+2","43+2","48+2","56+2","49+2","49+2","49+2","56+2","56+2","55+2","55+2","55+2","56+2","18+2","https://cdn.sofifa.net/players/264/097/22_120.png","https://cdn.sofifa.net/teams/1860/60.png","https://cdn.sofifa.net/flags/es.png","","https://cdn.sofifa.net/flags/es.png"
"200502","https://sofifa.com/player/200502/marc-martinez-aranda/220002","Marc Martínez","Marc Martínez Aranda","GK","65","65","375000.0","2000.0","31","1990-05-04","186","72","100851.0","FC Cartagena","Spanish Segunda División","2.0","GK","1.0","","2019-07-08","2022.0","45","Spain","","","","Right","2","1","1","Medium/Medium","Normal (185+)","No","600000.0","","","","","","","","","13","19","12","32","17","20","15","11","33","27","46","53","58","57","52","49","61","25","45","15","15","14","13","36","38","17","27","20","17","65","62","65","64","69","49.0","29+2","29+2","29+2","29.0","30","30","30","29.0","31+2","31+2","31+2","29+2","29+2","29+2","29+2","29+2","27+2","28+2","28+2","28+2","27+2","27+2","26+2","26+2","26+2","27+2","64+1","https://cdn.sofifa.net/players/200/502/22_120.png","https://cdn.sofifa.net/teams/100851/60.png","https://cdn.sofifa.net/flags/es.png","","https://cdn.sofifa.net/flags/es.png"
